,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,solana,tron,staked-ether,dogecoin
2025-04-19 00:00:00,1676569222130.7378,191803336433.67212,144775161366.16223,86330011609.88626,120475062488.25311,60899448952.33305,69255414582.6942,22777879634.324318,14751204551.459894,23468863516.33842
2025-04-19 01:00:00,1676296346399.4524,191594368875.2181,144782816694.65967,86367047165.27602,120390350809.2802,60896923438.53172,69301754769.28557,22924865274.27464,14722532912.963446,23458625569.226986
2025-04-19 02:00:00,1678327221537.8987,191759618835.49377,144785812797.1968,86417665818.48834,120697782760.54637,60899558322.84268,69622877677.84126,22914230316.82798,14745455780.651009,23505039057.15308
2025-04-19 03:00:00,1682351349379.7422,192177631432.60318,144782309327.09863,86442475707.59518,121378914746.99289,60894653574.68794,70959073739.1124,22901217022.512268,14781667764.467373,23574923021.165638
2025-04-19 04:00:00,1685087906194.8247,192950603692.18283,144791373789.95663,86489669697.74004,121674845493.07564,60902433534.54148,71713178299.67583,22952830194.815643,14834341269.192165,23719605852.272987
2025-04-19 05:00:00,1688203932966.824,193561140084.13693,144784792997.14383,86564194751.93428,121932042186.36066,60901118732.202225,71533474700.39304,22964931254.221226,14884106031.461966,23781368047.976055
2025-04-19 06:00:00,1688938747110.5989,193433322181.39005,144789005893.9076,86540188435.18605,121727986847.05765,60902092029.985794,71517651603.05727,22926927562.366352,14877790390.136908,23689516753.635098
2025-04-19 07:00:00,1686095691228.5498,192752341803.3155,144787909694.0285,86422020899.08415,121345581168.42566,60899556954.81577,71429188957.57309,22956369820.47328,14822155034.322048,23613795192.451214
2025-04-19 08:00:00,1691180246237.5322,193325236089.40845,144630347551.32996,86497915253.54416,121950340782.56895,60899283750.42179,71675882695.21678,22958315120.343903,14859520852.675121,23686238391.922203
2025-04-19 09:00:00,1693792748277.6025,193395470521.3886,144630761556.49954,86540377307.1602,121828521668.74873,60896075398.449005,71824556007.39282,23012891107.806065,14884013313.318945,23633940694.670864
2025-04-19 10:00:00,1694808958397.7651,193092324598.5955,144633621641.5416,86342681129.05638,122106252877.85757,60898015089.14713,72026728953.89377,22935754317.0302,14864497694.572126,23598271212.97559
2025-04-19 11:00:00,1691962705126.4043,192719469258.25516,144637573685.56454,86123911353.80016,121719037246.96982,60899183789.804054,71800121829.42226,22945585652.30698,14813706166.402216,23515117752.57554
2025-04-19 12:00:00,1691454981263.1318,192652388060.18704,144627175798.578,86198662871.82106,121601835471.82448,60909099823.55478,71657626284.94714,23020273364.302376,14806773676.079096,23525542284.96826
2025-04-19 13:00:00,1692981774074.7747,192736077357.98505,144634820018.69177,85829534175.83943,121526489910.75218,60903888361.98172,71641920892.30417,23063825872.29778,14830881821.246445,23511801318.274334
2025-04-19 14:00:00,1696587696988.6887,193608298430.03445,144626420438.88947,86005909247.82086,121852286283.83682,60903806690.36246,72014729752.66219,23052343402.995453,14854835926.168251,23606749394.393856
2025-04-19 15:00:00,1695167586026.0835,193735816656.30142,144626259333.45114,85938564226.37233,121581452029.05902,60901205926.593895,72053325698.53423,23005484380.227455,14871789928.772026,23519139547.859188
2025-04-19 16:00:00,1691399903923.1624,193771427008.81396,144625542272.27954,86005385874.80826,121348020799.37636,60900715845.40223,71785728820.41052,22914655437.527653,14889028500.165903,23491507920.361126
2025-04-19 17:00:00,1685074561813.5664,193168893252.47812,144622899650.27664,85825172988.91893,120808982566.5644,60903197449.23857,71290508693.73555,22883418220.307575,14856717705.478346,23330722179.434196
2025-04-19 18:00:00,1689342858361.017,195162117663.53207,144616601229.94992,85998681871.4527,121562498831.85016,60902427718.21301,71669470748.30446,22917937543.244503,15007843183.789022,23480245091.445053
2025-04-19 19:00:00,1690448418149.8623,195144438703.93604,144615697304.14215,86151094888.97482,121988715855.96268,60906904338.18617,71620653151.48708,22955841606.673737,14976820923.602295,23426952775.950077
2025-04-19 20:00:00,1689172186437.8704,194991878263.43915,144620783010.8279,86207802323.73714,121648877670.42914,60900610186.300575,71610789506.3944,23043932624.93472,14986803778.156755,23412172896.486897
2025-04-19 21:00:00,1691649600043.662,194960329971.29944,144621028838.91788,86186400746.87799,121818362644.7206,60903518659.3899,71750809786.76611,23029916628.515057,14984458913.87356,23416897321.767345
2025-04-19 22:00:00,1693809914261.5918,195538183252.52393,144622109631.89584,86282928537.49745,121989901662.85637,60906172407.09901,71818563406.71742,23035753989.86553,15015283503.36877,23482612325.23582
2025-04-19 23:00:00,1692401746417.0254,195319683590.7984,144624296312.51895,86511844084.52948,121933040729.35228,60906859653.2039,72026621533.26599,23097949420.354275,15008379924.106537,23489656809.095615
2025-04-20 00:00:00,1689897550386.7046,194837334305.52097,144625984012.1273,86364168687.02092,121781950222.1799,60906081251.5956,72156157459.08229,23173546362.928345,14968946080.879158,23427172745.68442
2025-04-20 01:00:00,1690014696810.214,194352720394.79807,144623017969.99002,86547167144.26364,121758085546.45142,60904597758.32851,72679947746.6477,23208155378.086346,14925150712.485758,23427120937.62049
2025-04-20 02:00:00,1692811017422.632,195206603755.67487,144625496093.88803,86444583424.89781,121973790123.76968,60902545218.306915,73198665468.32344,23195953663.51496,15002119025.471807,23623435819.938633
2025-04-20 03:00:00,1692087335729.1084,195122162484.0627,144629461458.4799,86406359346.91536,121714515766.02344,60909722015.716934,73098536093.36581,23198044151.560802,14991602742.228584,23601991864.83893
2025-04-20 04:00:00,1690194409231.552,194419185969.43073,144634094252.33722,86439643868.3881,121599114654.02507,60904618274.42135,72808325271.10258,23190410080.077843,14939043158.771997,23573087192.035015
2025-04-20 05:00:00,1691507765847.7295,194966352905.4976,144629127276.3526,86719067524.80492,121622547189.21327,60902924878.65426,73030136829.8229,23079980610.301136,14990306196.100447,23673692189.808926
2025-04-20 06:00:00,1689695694445.2742,194581543625.3117,144633444182.21243,86715408853.33527,121562767431.58968,60901887027.37795,72820036156.19678,23074361391.04013,14953417730.482351,23644663931.069393
2025-04-20 07:00:00,1686298015745.2847,193825495783.8028,144635194405.96576,86596150838.89122,121072550676.72876,60900806744.568504,72451470393.82727,23015684655.21509,14881503263.937702,23550362001.388264
2025-04-20 08:00:00,1683177171336.2463,192537994890.65372,144640049972.04797,86598614952.47934,120814560763.78252,60903444128.48822,72082526506.35948,22951001611.772907,14800718647.793179,23382934872.554554
2025-04-20 09:00:00,1680184114051.203,191867637532.28116,144637487728.9071,86696257275.87395,120423187634.92561,60902270166.42891,71901331249.9454,22979789932.048378,14759684445.785877,23297622571.666237
2025-04-20 10:00:00,1678096085084.5374,191999833813.60324,144634269407.8924,86445663152.91928,120373719567.41867,60901098550.52863,71891583926.8687,23121758021.428482,14756787542.105669,23100342469.38322
2025-04-20 11:00:00,1670762187235.1323,190570425585.95273,144634989747.2018,86132080789.84634,119603723627.2876,60900008929.27957,71530010838.96088,23128055070.6142,14630107440.819643,22924648841.940884
